ID,label
573,2029
574,2029
575,2029
576,2029
577,2029
578,2029
579,2030
580,2030
581,2030
582,2030
583,2030
584,2030
585,2030
586,2030
587,2030
588,2030
589,2030
590,2030
591,2030
592,2030
593,2030
594,2030
595,2031
596,2031
597,2031
598,2031
599,2031
600,2031
601,2031
602,2031
603,2031
604,2031
605,2031
606,2031
607,2031
608,2032
609,2033
610,2033
611,2033
612,2034
613,2035
614,2035
615,2035
616,2035
617,2035
618,2035
619,2035
620,2035
