48,140,232
138,43,227
199,66,117
237,201,176
255,245,0
148,0,212
77,92,84
99,148,237
28,77,61
232,150,122
209,105,31
240,235,214
163,0,110
173,112,105
87,130,3
125,250,255
153,102,204
112,79,56
87,161,212
120,181,255
145,92,130
110,156,194
140,145,171
74,92,36
255,140,0
240,219,130
0,148,181
209,255,20
89,66,125
255,128,79
204,97,125
230,143,171
181,130,148
224,168,94
18,97,128
191,176,179
163,163,209
0,107,79
232,64,150
250,232,181
28,77,61
107,48,130
171,56,31
227,66,51
102,66,33
166,112,99
232,255,255
133,133,130
255,179,0
245,0,161
33,66,181
184,135,10
163,194,173
214,23,105
33,140,33
38,66,140
245,74,138
84,105,120
148,69,54
79,199,120
189,184,107
145,163,176
0,255,255
196,31,59
153,130,122
217,51,135
133,28,46
255,166,0
0,128,255
150,112,23
227,209,10
171,230,237
150,199,163
120,69,59
143,0,255
125,94,97
168,179,194
0,184,235
158,28,51
194,153,107
255,166,201
201,89,74
201,224,13
217,145,240
252,237,0
240,222,186
135,64,64
245,245,245
217,138,102
46,79,79
51,51,153
0,140,140
204,84,0
222,112,161
107,84,31
140,181,0
255,232,209
227,0,33
255,153,102
255,255,250
186,217,235
186,79,71
250,214,166
0,115,186
181,51,138
0,255,0
232,92,74
232,214,107
255,189,255
130,97,61
20,97,189
128,0,33
191,0,255
255,191,0
20,245,237
184,115,51
255,189,217
5,79,64
199,43,71
179,191,181
79,120,66
84,97,112
115,102,189
245,194,194
247,130,120
255,171,28
125,10,3
125,186,232
138,64,69
179,255,255
158,168,31
71,61,140
0,112,61
217,153,107
79,115,166
140,191,214
94,166,120
255,212,0
196,224,122
0,255,64
84,61,56
31,117,255
255,112,94
255,252,209
224,61,48
71,61,51
23,115,69
230,171,112
13,153,186
224,33,138
84,105,115
227,89,33
161,201,242
171,224,176
74,99,107
222,184,135
194,153,107
194,84,194
255,255,153
179,33,33
196,48,82
115,161,194
255,145,176
122,64,0
196,97,15
168,82,110
26,115,209
94,158,161
112,0,255
74,84,33
176,110,77
128,23,23
0,148,176
0,107,61
161,122,115
92,173,237
15,51,166
250,0,130
150,0,23
255,184,196
255,0,255
84,84,84
135,5,207
166,122,92
191,255,0
204,102,102
135,168,107
194,153,107
153,102,102
250,237,92
189,51,163
176,191,26
133,97,135
138,207,240
255,84,112
97,64,82
143,150,120
209,105,31
105,105,105
191,79,82
219,20,61
204,148,117
0,71,171
158,252,56
156,38,66
84,92,79
138,51,36
122,181,97
102,102,153
171,74,82
89,38,33
189,212,230
247,130,120
140,0,0
0,122,166
150,112,23
110,128,128
158,130,112
0,74,74
166,41,41
232,115,82
31,143,255
222,48,99
28,171,214
3,191,61
0,0,0
