label,isomap,,
10,-0.179180702,0.386050648,-0.811133665
10,-0.202372147,0.281121495,-0.938344262
10,-0.20216956,0.223560446,-0.917607372
10,-0.178082966,0.242592704,-0.887874761
10,-0.13276719,0.182964124,-0.890474174
10,-0.180365598,0.169506964,-0.85589322
11,-0.173178488,0.249173952,-0.917315303
11,-0.166483711,0.571962617,-0.596083356
11,-0.209528633,0.408082605,-0.762845919
11,-0.28750795,0.31238167,-0.707446296
11,-0.203382724,0.632830871,-0.525393928
11,-0.306447434,0.372634911,-0.633330899
12,-0.128270241,0.664847754,-0.523936504
12,-0.162867777,0.700904432,-0.469877477
12,-0.176257332,0.708803135,-0.475517327
12,-0.191943653,0.633554417,-0.55783209
12,-0.200817413,0.377039494,-0.908757685
12,-0.300040046,0.075577329,-0.873767834
12,-0.283055758,0.047145011,-0.872015421
13,-0.224729688,0.504853784,-0.59173153
13,-0.234340769,0.539704552,-0.58394439
13,-0.274245601,0.406563159,-0.721690495
13,-0.301853902,0.125444679,-0.793183113
17,-0.240324138,0.160102804,-0.828064898
17,-0.321641422,0.087455532,-0.645594871
17,-0.286047443,0.134814591,-0.799112111
17,-0.296035429,0.09807959,-0.779044059
18,-0.279710725,0.284422671,-0.70390058
18,-0.591434831,0.274694001,-0.259254932
26,-0.175995854,0.670786856,-0.525093097
49,0.187006195,0.587910763,-0.742211253
49,0.093086146,0.547241483,-0.800844079
49,0.15344986,0.626801326,-0.720288564
49,0.03650232,0.297853482,-0.925405611
49,0.094546654,0.218905638,-0.933963229
49,-0.02303126,0.129228218,-0.883815004
50,0.080360887,0.217998191,-0.949033982
50,0.1963982,0.572746458,-0.68825153
50,0.166318815,0.6218571,-0.721632081
50,0.224849827,0.640850166,-0.616674212
50,0.190685732,0.664425686,-0.744144749
50,0.080584674,0.285287911,-0.942520846
51,0.244905891,0.70370817,-0.540411525
51,0.274057148,0.638800121,-0.645892782
51,0.276459918,0.56795297,-0.728784847
51,0.264351841,0.3621224,-0.836050061
51,0.241518457,0.264727163,-0.883347693
51,0.214414266,0.237573108,-0.875257386
52,0.189408966,0.349966838,-0.853673496
