ID,AnatomyX,AnatomyY,AnatomyZ
1,0.077172466,0.115808173,-0.112733287
2,0.084216214,0.036701386,-0.191297157
3,-0.003975376,0.177983332,-0.133201149
4,-0.026553967,0.072507616,-0.165903493
5,-0.070070823,0.240991194,-0.163680659
6,-0.117350779,0.153696161,-0.194924824
7,-0.152183562,0.321069468,-0.246690199
8,-0.188174222,0.237382814,-0.256150584
9,-0.003975376,0.266804988,0.102686073
10,0.427044134,0.163411029,-0.115454036
11,0.368474884,0.192416851,-0.014430643
12,0.289835775,0.202409287,0.081204599
13,0.30450221,0.110950739,-0.072153216
14,0.174627067,0.226557675,0.131707404
15,0.201837164,0.147728456,0.031093012
16,0.361720604,0.283736616,-0.18959002
17,0.299677724,0.232386596,-0.258764637
18,0.263204616,0.381579221,-0.19430243
19,0.232810359,0.316905953,-0.151766264
20,0.156004554,0.472898986,-0.241124221
21,0.144039831,0.383244627,-0.161760129
22,0.072058511,0.473592905,-0.264277268
23,0.017541828,0.450693572,-0.226115641
24,0.220170208,0.196302799,-0.212120673
25,0.168548216,0.261392418,-0.230330135
26,0.115961327,0.307468652,-0.256879674
27,0.05276057,0.349658939,-0.271230295
28,-0.003203458,0.470123309,-0.590820582
29,0.077075976,0.347438397,-0.609243436
30,-0.146008221,0.469984526,-0.478789711
31,-0.266909821,0.391571658,-0.346451022
32,0.170767479,0.408225718,-0.591905325
33,0.149925703,0.308717707,-0.513501498
34,0.339045524,0.105399385,-0.25824894
35,0.139022366,-0.102637587,-0.156976589
36,0.155425616,-0.20436614,-0.082733909
37,0.048708003,-0.113323942,-0.138535952
38,0.076593527,-0.236286422,-0.094381563
39,-0.03851869,-0.154681526,-0.168553112
40,0.010208611,-0.248221832,-0.146129156
41,-0.104710627,-0.245862507,-0.212387413
42,-0.06457091,-0.326218349,-0.215837253
43,0.142688975,-0.283195359,0.12603473
44,0.489665953,-0.279448195,-0.15406023
45,0.450587622,-0.329965512,-0.048057687
46,0.384299195,-0.208113303,-0.092781122
47,0.382948339,-0.293465363,0.021952716
48,0.294177811,-0.195900325,-0.051169656
49,0.293502383,-0.293604147,0.121357885
50,0.402053301,-0.413374598,-0.224070633
51,0.334317528,-0.336488353,-0.288692884
52,0.286169166,-0.395055132,-0.209382141
53,0.321580887,-0.465557321,-0.18453974
54,0.211679114,-0.447654206,-0.134908286
55,0.215924661,-0.516213422,-0.21574834
56,0.13468033,-0.504416796,-0.233406539
57,0.07890928,-0.491093547,-0.263317003
58,0.226249059,-0.313727803,-0.224924201
59,0.132943515,-0.389364995,-0.261645431
60,0.089523148,-0.40005135,-0.650499249
61,-0.098824755,-0.49012206,-0.492322329
62,-0.174955132,-0.346619573,-0.311561408
63,0.053243019,-0.523846533,-0.632983311
64,-0.008220923,-0.503028957,-0.589184575
65,0.150504641,-0.386450534,-0.565320222
66,0.169030664,-0.469582052,-0.65010803
67,0.367509987,-0.232816826,-0.292942944
68,-0.347092765,0.940600518,-0.25751985
69,-0.346899786,0.787938297,-0.34470832
70,-0.486452845,0.884531847,-0.358667722
71,-0.456598931,0.751299364,-0.292854031
72,0.315405546,0.051134905,0.32280006
73,0.539744109,0.040309766,0.259635989
74,0.462648835,0.040170982,0.263512612
75,0.404465544,0.654011894,0.554188265
76,0.339624462,0.594473628,0.564680045
77,0.45801733,0.483030206,0.648792112
78,0.360755707,0.465959794,0.609492393
79,0.279704356,0.581427947,0.597400172
80,0.215635192,0.639717159,0.614293716
81,0.267643142,0.455551007,0.60469107
82,0.162179895,0.534102658,0.521112484
83,-0.734132268,0.228361865,-0.273133041
84,-0.829222872,0.142871021,-0.225084245
85,-0.865396862,0.04808166,-0.367043363
86,-0.908933017,0.041420036,-0.500804666
87,0.197302148,0.40683788,-0.920813735
88,0.080453116,0.418634506,-0.834905618
89,0.224801714,0.52730225,-0.921364998
90,0.034427527,0.591142816,-0.730112298
91,-0.131534765,0.527857386,-0.686277997
92,-0.192323279,0.601412819,-0.696218514
93,-0.265558965,0.624867288,-0.724066187
94,-0.25089253,0.446391273,-0.63716224
95,-0.347382234,0.693148936,-0.738701331
96,-0.431830024,0.656787571,-0.750935813
97,-0.341110404,0.469151823,-0.621477918
98,-0.418881105,0.430569916,-0.61511172
99,-0.505277987,0.484695612,-0.67886262
100,-0.586329339,0.528551305,-0.755701571
101,-0.540409888,0.341609476,-0.652046342
102,-0.665865802,0.378109625,-0.756661836
103,-0.605173778,0.860105892,0.192559728
104,-0.628369903,0.819303444,-0.110332625
105,-0.686833015,0.745192875,0.168677591
106,-0.695189023,0.766981937,-0.192417466
107,-0.540274803,0.735200439,0.012527897
108,-0.551033405,0.672608928,-0.214272377
109,-0.628321658,0.664281898,-0.017275872
110,-0.588249484,0.548536177,0.121873583
111,-0.769148382,0.687597582,0.111684109
112,-0.76382215,0.701892318,-0.270465639
113,-0.746425056,0.577819567,0.234135628
114,-0.695777611,0.507456162,-0.002907468
115,-0.839334993,0.666780007,-0.235202589
116,-0.886894768,0.600024981,-0.315722555
117,-0.802736448,0.543678743,-0.028799047
118,-0.866602983,0.513840218,-0.327192382
119,0.247476794,0.639300807,-0.916403631
120,0.120978792,0.733396249,-0.821657523
121,0.027576758,0.858995621,-0.759275889
122,-0.310716147,0.893691581,-0.647565107
123,-0.205735348,0.793906002,-0.674594777
124,-0.529024103,0.74574801,-0.682294677
125,-0.092166966,0.80362087,-0.711102615
126,-0.065632297,0.673302847,-0.691595017
127,-0.439250082,0.885086983,-0.737954459
128,-0.424496806,0.772949642,-0.705856725
129,-0.338601671,0.131490747,-0.050191608
130,-0.392539416,0.072507616,0.039344175
131,-0.436287848,0.245987412,-0.311863714
132,-0.456319111,0.111228306,-0.081933688
133,-0.594897624,0.679270552,-0.707581645
134,-0.6274629,0.608490795,-0.717362118
135,-0.716368513,0.758654907,-0.551378602
136,-0.715017658,0.67413555,-0.709733349
137,-0.807078485,0.679825688,-0.663178298
138,-0.869333642,0.604882415,-0.699312699
139,-0.751683745,0.489414263,-0.829730859
140,-0.80346977,0.540486715,-0.716490766
141,-0.828335167,0.293312701,-0.920066863
142,-0.877515969,0.353544886,-0.816287155
143,-0.948378008,0.339250151,-0.623896363
144,-0.926716069,0.45097114,-0.782375588
145,-0.980798549,0.212818075,-0.494260641
146,-1,0.20685037,-0.723906143
147,-0.912001389,0.128992638,-0.838693329
148,-0.976157394,0.049191931,-0.683859552
149,0.79109979,0.213928346,-0.304839556
150,0.83664293,0.085275729,-0.358898897
151,0.678689284,0.296921081,-0.294098818
152,0.617321832,0.113310064,-0.468066756
153,0.54939308,0.403784635,-0.288408361
154,0.477122291,0.502043592,-0.380291458
155,0.506455161,0.200049962,-0.41875539
156,0.426368706,0.28928797,-0.396989393
157,-0.471004844,0.362427052,-0.452613609
158,-0.41968197,0.225586188,-0.460935902
159,-0.601275594,0.339388935,-0.546826237
160,-0.566655088,0.172431979,-0.493122549
161,-0.711264208,0.250289711,-0.762690164
162,-0.67423146,0.080279511,-0.587797526
163,-0.814305564,0.113448848,-0.905111631
164,-0.776462301,0.016300162,-0.774764602
165,0.728574461,0.001172723,-0.275960487
166,0.606707964,-0.006599171,-0.395869084
167,0.466025975,-0.00437863,-0.426739813
168,0.886528107,-0.003823495,-0.239950564
169,0.81387136,0.008389483,-0.284780695
170,-0.52530925,0.931440784,-0.543732051
171,0.31087053,0.75587923,-0.720972001
172,0.364036357,0.678437849,-0.811912616
173,0.224898203,0.879674413,-0.571917595
174,0.177328779,0.816805335,-0.640452036
175,0.049093962,0.981958101,-0.487023091
176,0.055462282,0.874261843,-0.552765651
177,-0.091105579,0.981402966,-0.497248131
178,-0.096991451,0.875372114,-0.520632352
179,-0.212586117,0.981680533,-0.429300518
180,-0.235840136,0.84844805,-0.394997733
181,-0.330496536,1,-0.408743743
182,-0.386557054,0.92366889,-0.48296864
183,-0.627453251,0.882866441,-0.511011923
184,-0.630859337,0.777529509,-0.560981248
185,-0.054632471,0.394624902,-0.69858361
186,-0.285146375,0.35007529,-0.499488748
187,-0.119763021,0.099292896,0.495861082
188,-0.192902217,0.088606541,0.668708711
189,-0.282251684,0.127188448,0.614471543
190,-0.354233003,0.218646996,0.599711921
191,0.355448774,0.542984824,0.027376433
192,0.451649009,0.764067477,0.117054477
193,0.382562381,0.721599623,0.099165103
194,0.526717999,0.70702732,0.190905939
195,0.455605087,0.581011595,0.0703216
196,0.31405469,0.716880972,0.021810454
197,0.269862406,0.67413555,0.060718954
198,0.719504429,0.530771846,-0.25824894
199,0.608348289,0.620564989,-0.336723897
200,0.586252147,0.713966511,-0.031679841
201,0.500858758,0.668861764,-0.126710471
202,0.534051217,0.47845034,-0.042989624
203,0.687759316,0.677882714,-0.051632005
204,0.63758467,0.611960391,0.025295859
205,-0.698469673,0.178122116,-0.366314273
206,-0.829724618,0.109979252,-0.621637962
207,0.050251838,0.815695064,0.0658048
208,-0.039773056,0.738531251,0.229601046
209,-0.336575387,0.339527719,0.892414799
210,0.064821784,0.95586674,0.109283447
211,-0.020089156,0.937269706,0.230721354
212,-0.082517995,0.903128882,0.453004828
213,-0.14948185,0.853305484,0.538006028
214,-0.202068739,0.772255723,0.559167415
215,-0.201103842,0.620981341,0.523068579
216,-0.266041413,0.790852757,0.610915008
217,-0.275786874,0.655538516,0.646836017
218,-0.251471468,0.463322901,0.692537499
219,-0.311970513,0.506484675,0.738772462
220,0.113452595,0.0589068,0.339551343
221,-0.083096934,0.097488706,0.290293325
222,-0.22127019,0.103317628,0.266304493
223,-0.355680349,0.129547773,0.27850341
224,-0.184604103,0.206434019,0.817727552
225,0.237731334,0.861771298,0.031253056
226,0.163530751,0.867877787,0.173994612
227,0.257801193,0.73742098,0.247277027
228,0.209845809,0.680658391,-0.101103415
229,0.09878616,0.823189391,0.367292321
230,0.025453984,0.731592059,0.523424232
231,0.117698142,0.658314193,0.500484578
232,0.136031185,0.654844597,0.022752936
233,0.01358575,0.580595244,0.664796522
234,-0.020764584,0.442366542,0.676177436
235,-0.080298732,0.688430285,0.652704301
236,-0.139157452,0.587395652,0.687914003
237,-0.061097281,0.292479998,0.717611075
238,-0.173411297,0.413638288,0.679022664
239,-0.442289508,0.161884407,0.551520864
240,-0.523881202,0.234745921,-0.101192329
241,-0.530828461,0.104289114,-0.047897643
