ID,IsomapX,IsomapY,IsomapZ
1,-0.066234712,0.711556021,-0.747217314
2,-0.054923697,0.68691232,-0.67547546
3,-0.046669711,0.69735327,-0.853389422
4,-0.053731802,0.670695322,-0.719121112
5,0.00166383,0.635122963,-0.928148081
6,-0.014682924,0.631275332,-0.85404489
7,-0.020935093,0.565327172,-0.841617941
8,-0.062343407,0.546743639,-0.823005362
9,-0.003728987,0.629108554,-0.865226714
10,-0.099901519,0.827938125,-0.462163931
11,-0.07442867,0.664915946,-0.543312553
12,-0.089167756,0.584294755,-0.481304657
13,-0.150929501,0.734115124,-0.275872206
14,-0.026721552,0.622872049,-0.79987633
15,-0.108104303,0.535202218,-0.377127856
16,-0.148733255,0.93700199,-0.267490965
17,-0.191880924,0.810451315,-0.108764958
18,-0.232264732,0.904869883,-0.247170954
19,-0.223961764,0.843292669,-0.291118749
20,-0.253759238,0.645233894,-0.632623942
21,-0.124224301,0.734682189,-0.776741872
22,-0.154430414,0.470821117,-0.758487607
23,-0.136187751,0.498542458,-0.917485166
24,-0.110309086,0.675806679,-0.307456708
25,-0.253910001,0.712378692,-0.24615494
26,-0.244930886,0.677473653,-0.488930989
27,-0.150982481,0.480977771,-0.774966161
28,-0.104494702,0.425509394,-0.676996884
29,-0.106318348,0.194733299,-0.259754032
30,-0.107490914,0.353515083,-0.558741566
31,-0.077018502,0.299764473,-0.527056087
32,-0.215302056,0.463513034,-0.362105295
33,-0.494380296,0.379330292,0.411737805
34,-0.181169087,0.831142547,-0.295008581
35,0.15028111,0.747705204,-0.616062571
36,0.139377848,0.691726161,-0.670708174
37,0.137324669,0.750836413,-0.683375618
38,0.097640624,0.707018444,-0.760822432
39,0.11717348,0.671016257,-0.83864224
40,0.09440752,0.644613198,-0.899182544
41,0.188760753,0.55317855,-0.802511978
42,0.103107735,0.554143386,-0.786394298
43,0.108746395,0.625605185,-0.85958389
44,0.228100174,0.868665837,-0.489347295
45,0.151475319,0.737283242,-0.577893572
46,0.247257613,0.830355924,-0.338391634
47,0.140423777,0.672144032,-0.425908072
48,0.145867611,0.628648992,-0.344446911
49,0.134268162,0.625013407,-0.786159018
50,0.288018206,0.876533761,-0.319482454
51,0.273685704,0.774596354,-0.330223469
52,0.261757358,0.742680125,-0.415202678
53,0.313432214,0.7949725,-0.452856615
54,0.303569425,0.650158718,-0.64410328
55,0.27470558,0.60007031,-0.86772914
56,0.275561144,0.535310913,-0.894635686
57,0.250434142,0.556360571,-0.916261283
58,0.219763727,0.671873748,-0.812854438
59,0.198104324,0.620751564,-0.930980029
60,0.199611935,0.115432505,-0.280124588
61,0.232635862,0.374447244,-0.604882557
62,0.190813472,0.27453878,-0.591795397
63,0.243074018,0.414271201,-0.566636079
64,0.188150295,0.19848693,-0.354572898
65,0.460503725,0.22885896,0.025689069
66,0.313617594,0.509553643,-0.451110681
67,0.267728946,0.82411764,-0.326568819
68,-0.724730231,0.170561544,-0.188087988
69,-0.709482572,0.017015576,-0.343819828
